Ride ID,Request Time,Customer ID,Pickup Location,Drop Location,Ride Type,Estimated Fare,Actual Fare,Distance (km),Estimated Time (mins),Actual Time (mins),Traffic Condition,Driver ID,Vehicle Type,Driver Rating,Payment Method,Payment Status,Ride Status,Customer Rating
13ddc2d2,00:27.9,CUST3361,Chennai,Hyderabad,Car,589.51,571.5906136,14.28,44,52,High,DRV372,Sedan,4.4,UPI,Failed,Completed,4.9
bf8cc834,21:27.9,CUST2309,Kolkata,Hyderabad,Auto,1477.85,1519.757424,17.06,41,51,Low,DRV150,SUV,3.4,UPI,Success,No-show,3
7787ff61,02:27.9,CUST6755,Chennai,Ahmedabad,Car,834.05,849.2414409,17.34,21,16,Low,DRV721,Hatchback,3.7,Wallet,Success,No-show,3
24b808c6,21:27.9,CUST7932,Chennai,Pune,Car,1212.28,1269.019202,22.87,10,6,Medium,DRV306,Electric,3.1,Debit Card,Failed,Completed,1.7
608dccd4,45:27.9,CUST6817,Hyderabad,Chennai,Auto,1123.82,1179.256905,9.89,32,32,High,DRV915,SUV,5,Wallet,Success,No-show,3
1cf5c6b7,49:27.9,CUST2426,Chennai,Bangalore,Auto,1223.52,1193.912261,24.25,15,17,High,DRV338,Bike,3.9,Wallet,Success,Cancelled,3
32f225d5,39:27.9,CUST8825,Pune,Delhi,Bike,683.51,723.9512898,7.09,37,37,Medium,DRV221,Bike,4.2,UPI,Success,Completed,4.1
efcc132d,45:27.9,CUST8196,Chennai,Kolkata,Car,1161.5,1237.930259,13.11,42,41,Low,DRV320,Electric,4.2,Wallet,Failed,No-show,3
dfb13271,28:27.9,CUST7379,Ahmedabad,Bangalore,Auto,369.28,362.7264252,18.88,36,34,Medium,DRV288,Sedan,4.6,Cash on Delivery,Success,Cancelled,3
d9851208,06:27.9,CUST3382,Kolkata,Pune,Car,1089.12,1133.596903,23.67,29,33,High,DRV385,SUV,4.3,Wallet,Pending,Completed,1.7
02bc0361,58:27.9,CUST2890,Hyderabad,Mumbai,Bike,1169.37,1148.932791,22.51,35,39,High,DRV550,Bike,4.5,Credit Card,Failed,Cancelled,3
50a279e1,28:27.9,CUST7681,Kolkata,Chennai,Bike,1154.9,1225.817557,21.99,7,16,Medium,DRV727,Bike,3.6,Debit Card,Pending,No-show,3
f7cb00f0,56:27.9,CUST2331,Ahmedabad,Hyderabad,Bike,532.59,538.2459862,15.86,42,42,High,DRV777,Bike,4.3,Debit Card,Pending,Cancelled,3
079618af,26:27.9,CUST1921,Delhi,Pune,Auto,780.58,774.6706883,17.04,38,46,Medium,DRV802,Bike,4.1,UPI,Success,Completed,1.5
a11e90e6,35:27.9,CUST1823,Kolkata,Chennai,Car,551.57,601.4313567,24.67,18,14,Medium,DRV320,Hatchback,4.5,Credit Card,Failed,Completed,1.6
ced67939,37:27.9,CUST1781,Kolkata,Bangalore,Bike,324.95,368.3407521,8.09,35,37,Medium,DRV870,Bike,3.8,Credit Card,Failed,Cancelled,3
0f01348b,13:27.9,CUST6464,Kolkata,Mumbai,Auto,216.22,238.2697819,17.76,31,35,Medium,DRV610,Hatchback,3.7,Credit Card,Pending,Completed,4.6
7c727646,42:27.9,CUST3234,Bangalore,Delhi,Auto,88.34,166.0633539,5.43,29,37,Medium,DRV773,SUV,4.9,Debit Card,Failed,Completed,4.2
fc0b4615,15:27.9,CUST4853,Ahmedabad,Mumbai,Bike,637.11,666.4581777,9.39,38,37,High,DRV370,Bike,4.5,Cash on Delivery,Success,Completed,3.5
d11fb38a,24:27.9,CUST9370,Delhi,Ahmedabad,Bike,643.88,704.8448633,19.51,36,41,High,DRV392,Bike,3.8,Debit Card,Success,Completed,3
3dbb7198,23:27.9,CUST8532,Kolkata,Hyderabad,Car,428.97,456.8407451,4.34,19,29,High,DRV850,Bike,4.5,Debit Card,Failed,Completed,3.8
56a10142,43:27.9,CUST9622,Ahmedabad,Pune,Car,471.09,468.5369383,1.31,40,35,Medium,DRV403,Electric,3.3,Debit Card,Failed,No-show,3
0606cf58,52:27.9,CUST7922,Ahmedabad,Delhi,Bike,1340.84,1380.824522,1.56,15,12,Low,DRV833,Bike,3.7,Credit Card,Success,Completed,3.7
395c0870,35:27.9,CUST3963,Mumbai,Kolkata,Car,1434.53,1422.299781,3.73,14,17,Low,DRV540,Hatchback,4.7,Wallet,Pending,No-show,3
cb03db7e,04:27.9,CUST8123,Kolkata,Chennai,Car,251.8,244.0294936,24.4,23,18,Medium,DRV414,Bike,3.5,Credit Card,Failed,No-show,3
5d03f169,20:27.9,CUST6075,Kolkata,Delhi,Auto,1411.06,1434.318346,18.36,44,51,Medium,DRV115,Sedan,4.9,Debit Card,Success,No-show,3
c8ff3be4,59:27.9,CUST8161,Kolkata,Chennai,Car,403.05,475.0577215,7.64,14,10,Low,DRV795,SUV,3.1,UPI,Pending,Completed,3.6
3c4f7247,41:27.9,CUST1310,Hyderabad,Bangalore,Car,1082.77,1077.171484,22.27,19,23,Medium,DRV518,Electric,3.2,Wallet,Pending,No-show,3
077e39e3,51:27.9,CUST2771,Kolkata,Chennai,Auto,1154.34,1171.866903,7.93,21,29,High,DRV581,Bike,4.3,Debit Card,Failed,No-show,3
bfb66daa,03:27.9,CUST2267,Delhi,Bangalore,Bike,575.36,568.0586352,11.31,37,35,Low,DRV441,Bike,3.8,Wallet,Failed,Cancelled,3
a6460f9b,32:27.9,CUST6296,Pune,Kolkata,Auto,893.78,919.7258003,1.47,9,17,High,DRV851,SUV,4.4,Cash on Delivery,Success,Completed,3.9
2f118587,52:27.9,CUST3065,Hyderabad,Chennai,Bike,375.15,419.2597092,21.64,17,15,Low,DRV707,Bike,4.6,Cash on Delivery,Failed,Cancelled,3
20d0cd20,57:27.9,CUST5456,Pune,Ahmedabad,Car,829.48,895.4291341,14.49,12,7,High,DRV935,Bike,3.3,UPI,Success,No-show,3
d72c0cb0,33:27.9,CUST1417,Pune,Delhi,Auto,189.11,210.2422555,21.05,17,13,Low,DRV273,Electric,3.4,Debit Card,Failed,No-show,3
0c1fb8ca,20:27.9,CUST7609,Pune,Ahmedabad,Bike,1239.79,1270.146328,1.3,8,15,Medium,DRV383,Bike,3.2,Wallet,Failed,Cancelled,3
d2635151,07:27.9,CUST2342,Chennai,Ahmedabad,Bike,1098.54,1133.770834,5.89,14,15,Medium,DRV379,Bike,4.7,Debit Card,Pending,No-show,3
3134937,57:27.9,CUST6398,Ahmedabad,Mumbai,Bike,718.84,744.0291388,14.3,26,22,Low,DRV550,Bike,4.9,Cash on Delivery,Success,Cancelled,3
ede0138a,59:27.9,CUST5021,Ahmedabad,Delhi,Car,1120.65,1092.644444,8.35,42,41,Low,DRV898,Hatchback,3.2,Cash on Delivery,Pending,No-show,3
9dde00a0,05:27.9,CUST4350,Chennai,Hyderabad,Auto,376.53,419.190241,12.7,24,23,Medium,DRV953,Sedan,4.2,Cash on Delivery,Failed,No-show,3
e1761b90,43:27.9,CUST5012,Delhi,Ahmedabad,Car,349.86,374.0805547,1.03,26,22,Medium,DRV621,SUV,3,Wallet,Failed,No-show,3
84b24e59,09:27.9,CUST9506,Bangalore,Chennai,Car,623.04,651.5581202,21.71,31,41,High,DRV866,Electric,4.5,Cash on Delivery,Pending,Cancelled,3
53876f9c,02:27.9,CUST9024,Chennai,Delhi,Car,827.51,802.1360151,24.74,23,19,Medium,DRV277,Bike,3.1,Debit Card,Pending,No-show,3
a6f2b2bc,20:27.9,CUST8253,Kolkata,Pune,Bike,1397.74,1418.057349,6.22,12,14,Medium,DRV672,Bike,4.8,Credit Card,Failed,Cancelled,3
66cc3823,14:27.9,CUST3464,Kolkata,Hyderabad,Auto,1308.95,1368.906284,20.6,14,17,High,DRV532,Hatchback,3.6,Wallet,Success,Completed,2.4
fda047c3,02:27.9,CUST6269,Chennai,Mumbai,Bike,1114.28,1187.524837,6.52,44,45,Low,DRV194,Bike,4.7,Cash on Delivery,Pending,No-show,3
639f88dc,15:27.9,CUST8769,Mumbai,Ahmedabad,Bike,1406.44,1472.492541,13.67,33,37,Low,DRV656,Bike,5,Debit Card,Failed,Completed,3.3
a9a01004,44:27.9,CUST8076,Kolkata,Ahmedabad,Car,351.29,357.2723058,21.66,39,35,Low,DRV894,Bike,3.5,Wallet,Pending,No-show,3
57b9dea5,59:27.9,CUST8596,Chennai,Kolkata,Bike,1120.31,1095.051831,14.13,21,26,Medium,DRV693,Bike,4.4,Credit Card,Pending,Cancelled,3
da1afef5,43:27.9,CUST9308,Bangalore,Mumbai,Bike,1450.91,1426.660983,7.8,7,6,Low,DRV958,Bike,4,UPI,Pending,No-show,3
c7ff36b1,54:27.9,CUST1733,Delhi,Bangalore,Car,563.6,588.4313239,5.84,9,16,High,DRV699,Electric,4.7,Credit Card,Success,No-show,3
efe07902,14:27.9,CUST5363,Kolkata,Delhi,Car,314.07,320.4765584,24.94,18,16,Medium,DRV112,Hatchback,3.7,Credit Card,Failed,Cancelled,3
ea95f2fc,06:27.9,CUST4053,Bangalore,Hyderabad,Auto,947.08,951.3026201,11.22,30,28,Medium,DRV583,SUV,4.6,Wallet,Success,Completed,4
6b9cd3eb,49:27.9,CUST6796,Ahmedabad,Hyderabad,Auto,871.61,913.1144073,5.2,45,47,Medium,DRV930,Hatchback,4.4,Wallet,Success,No-show,3
66472f3b,50:27.9,CUST1643,Pune,Mumbai,Bike,640.55,639.2752992,5.63,45,53,Medium,DRV992,Bike,3.3,UPI,Pending,Completed,2.8
148dd6cc,17:27.9,CUST1016,Bangalore,Mumbai,Auto,282.3,286.611616,11.3,33,39,High,DRV177,Electric,4.7,UPI,Pending,No-show,3
5fae822e,45:27.9,CUST9595,Kolkata,Chennai,Car,163.72,141.9080169,1.36,36,42,Medium,DRV552,Electric,4.9,Debit Card,Pending,Cancelled,3
60ea5936,17:27.9,CUST6826,Pune,Hyderabad,Bike,1085.04,1141.297561,7.85,37,39,Medium,DRV256,Bike,3.5,Credit Card,Success,Completed,2.3
a73fec90,21:27.9,CUST6694,Kolkata,Hyderabad,Car,900.93,918.7979033,24.64,42,49,Low,DRV963,SUV,3,Wallet,Failed,Completed,1.5
e0f8339e,05:27.9,CUST4449,Kolkata,Pune,Bike,278.79,305.9950546,23.56,30,32,Low,DRV317,Bike,4.3,Debit Card,Pending,Cancelled,3
426ae507,19:27.9,CUST7598,Mumbai,Kolkata,Auto,622.94,597.9853064,24.73,42,37,Low,DRV930,Electric,4.1,UPI,Pending,No-show,3
3be4ef9e,43:27.9,CUST1508,Pune,Hyderabad,Car,770.35,757.8439023,16.89,32,39,High,DRV446,Electric,4.3,Cash on Delivery,Success,Cancelled,3
2a29d44c,19:27.9,CUST1686,Mumbai,Kolkata,Auto,722.57,768.2276496,8.82,17,15,High,DRV393,Hatchback,3,Credit Card,Failed,Completed,3.3
49ef75ba,07:27.9,CUST2268,Bangalore,Delhi,Auto,987.7,1031.577461,13.58,42,50,Medium,DRV465,SUV,3.8,Cash on Delivery,Success,No-show,3
d0828fe7,24:27.9,CUST7423,Ahmedabad,Chennai,Bike,201.12,199.0845125,16.88,39,36,Medium,DRV825,Bike,4.7,Wallet,Pending,Cancelled,3
8ed43a9a,48:27.9,CUST2444,Hyderabad,Mumbai,Auto,559.19,572.5058299,11.01,19,28,High,DRV111,Sedan,4.1,Debit Card,Failed,No-show,3
a474dbfd,18:27.9,CUST1945,Chennai,Mumbai,Car,1316.96,1376.064854,9.82,12,12,High,DRV393,Hatchback,4.6,UPI,Failed,No-show,3
32e7a1f7,38:27.9,CUST3605,Hyderabad,Ahmedabad,Auto,439.65,464.8673497,15.1,10,14,Medium,DRV517,SUV,4.2,UPI,Success,No-show,3
c5eb475c,56:27.9,CUST1057,Hyderabad,Bangalore,Auto,352.27,327.7841002,13.44,36,35,High,DRV413,Electric,3.4,Debit Card,Pending,Completed,3.8
38fd5a7d,16:27.9,CUST3946,Mumbai,Ahmedabad,Auto,1300.62,1305.114451,8.45,44,54,Medium,DRV569,Hatchback,4.9,Credit Card,Pending,No-show,3
5011cc75,15:27.9,CUST5086,Mumbai,Delhi,Auto,1239.73,1248.707938,17.15,38,35,Medium,DRV648,Hatchback,3.6,Debit Card,Success,Cancelled,3
78fa86fc,55:27.9,CUST7796,Mumbai,Delhi,Auto,1496.28,1561.399123,21.01,34,33,Medium,DRV451,Bike,3.2,Credit Card,Pending,Completed,2
ec20d3bb,35:27.9,CUST2254,Kolkata,Mumbai,Bike,666.93,662.5970018,11.28,35,37,Medium,DRV506,Bike,4,Wallet,Pending,Completed,4.5
58f4c471,38:27.9,CUST1064,Pune,Mumbai,Bike,514.58,550.8626792,4.99,28,26,High,DRV397,Bike,4.5,Credit Card,Failed,Completed,3.7
a5d08cc7,41:27.9,CUST2727,Kolkata,Chennai,Bike,793.61,854.3955632,16,17,22,Medium,DRV609,Bike,4.7,Cash on Delivery,Failed,No-show,3
21d1a436,24:27.9,CUST9221,Hyderabad,Kolkata,Car,125.12,95.75216233,4.68,22,28,High,DRV522,Bike,3.8,UPI,Pending,No-show,3
741ab1e4,39:27.9,CUST2503,Hyderabad,Chennai,Bike,282.91,347.457771,1.82,18,19,Low,DRV624,Bike,3.7,Debit Card,Success,No-show,3
e47c8f74,48:27.9,CUST5337,Bangalore,Delhi,Car,479.41,542.388262,18.68,6,7,High,DRV612,Hatchback,3.3,Wallet,Failed,Completed,4.7
6f8128a8,52:27.9,CUST2995,Chennai,Delhi,Car,980.27,984.8239174,10.44,26,24,Low,DRV226,Electric,3.7,UPI,Success,Cancelled,3
9b255f4d,23:27.9,CUST7820,Kolkata,Bangalore,Bike,658.6,654.9558459,14.87,17,12,High,DRV881,Bike,3.6,Debit Card,Pending,No-show,3
e7b24bbc,33:27.9,CUST4958,Hyderabad,Bangalore,Bike,835.23,811.5034834,18.44,39,37,Low,DRV781,Bike,4,UPI,Failed,Cancelled,3
40ce60dc,16:27.9,CUST3579,Kolkata,Pune,Auto,552.06,546.544341,4.89,18,15,High,DRV361,Sedan,3.1,UPI,Pending,Completed,4.7
b3f7889c,06:27.9,CUST6656,Ahmedabad,Hyderabad,Auto,112.99,104.7666345,9.39,19,14,Low,DRV584,Electric,4,Wallet,Pending,Cancelled,3
3957bc9b,27:27.9,CUST7895,Hyderabad,Pune,Bike,1278.65,1250.515303,19.79,24,27,High,DRV825,Bike,5,UPI,Pending,Cancelled,3
20cf3109,11:27.9,CUST8329,Delhi,Ahmedabad,Car,1106.96,1096.248401,13.42,17,22,Low,DRV492,Sedan,3.6,Wallet,Failed,Completed,4.9
573b717a,44:27.9,CUST6344,Chennai,Delhi,Auto,1312.27,1317.622288,4.8,8,4,High,DRV539,SUV,4.5,Debit Card,Failed,Completed,1.8
21c02627,50:27.9,CUST9704,Hyderabad,Kolkata,Bike,711.54,720.0004225,20,17,19,Medium,DRV866,Bike,3.7,Debit Card,Pending,No-show,3
4c2f3338,42:27.9,CUST5651,Ahmedabad,Bangalore,Car,623.22,647.807669,19.62,6,10,Low,DRV242,Electric,3.4,Wallet,Failed,Cancelled,3
28375dd5,44:27.9,CUST6296,Pune,Ahmedabad,Car,197.31,222.2816641,8.13,40,45,High,DRV334,Hatchback,4.2,Cash on Delivery,Failed,No-show,3
73baa8cc,09:27.9,CUST1480,Chennai,Kolkata,Car,72.63,73.18703626,8.25,38,34,High,DRV266,Electric,3.6,Wallet,Failed,No-show,3
4098dead,19:27.9,CUST1826,Kolkata,Mumbai,Bike,882.61,864.1875896,19.82,7,10,Low,DRV994,Bike,4,Debit Card,Failed,Cancelled,3
0713ecad,40:27.9,CUST1796,Kolkata,Pune,Car,954.69,974.7051965,1.04,15,21,High,DRV300,Bike,4,Wallet,Success,Cancelled,3
42973bec,11:27.9,CUST4424,Kolkata,Bangalore,Car,618.4,625.2103924,5.72,25,33,High,DRV385,Bike,3.7,Credit Card,Failed,Completed,1.6
7c58fafc,27:27.9,CUST8257,Kolkata,Ahmedabad,Auto,990.12,990.9861595,7.51,37,43,Low,DRV659,SUV,3.8,Debit Card,Pending,Cancelled,3
6121ca62,14:27.9,CUST3130,Bangalore,Ahmedabad,Bike,565.02,583.4044404,10.32,38,38,Low,DRV418,Bike,4.1,Debit Card,Pending,Completed,4.1
112c85cb,39:27.9,CUST1028,Pune,Mumbai,Bike,808.82,801.8118508,19.82,16,19,High,DRV838,Bike,3.6,Credit Card,Success,Cancelled,3
21977d45,50:27.9,CUST4617,Pune,Kolkata,Car,1417.27,1438.091112,20.95,31,30,Low,DRV981,Electric,4.1,UPI,Pending,Completed,1.4
590cf2ad,02:27.9,CUST4177,Hyderabad,Bangalore,Car,1035.18,1019.322654,20.49,34,34,Low,DRV479,Sedan,3.5,Credit Card,Pending,No-show,3
6709ca13,02:27.9,CUST6736,Hyderabad,Mumbai,Auto,241.67,230.0873146,8.51,25,32,High,DRV448,Hatchback,3.8,Cash on Delivery,Success,No-show,3
648064c5,27:27.9,CUST8278,Kolkata,Mumbai,Bike,256.34,324.8967392,3.62,6,9,High,DRV421,Bike,4.9,UPI,Failed,Cancelled,3
fad5d62f,31:27.9,CUST4217,Ahmedabad,Delhi,Car,1290.74,1347.779382,9.92,31,34,High,DRV662,SUV,3.8,Wallet,Failed,No-show,3
0828c14b,11:27.9,CUST9417,Ahmedabad,Mumbai,Bike,931.36,941.6699831,3.66,17,24,Low,DRV544,Bike,4.4,Credit Card,Failed,Cancelled,3
4895a104,37:27.9,CUST5333,Mumbai,Ahmedabad,Car,369.11,380.4062584,23.55,31,27,Low,DRV163,SUV,4.4,Debit Card,Success,Completed,3.8
1efc00da,36:27.9,CUST3551,Chennai,Mumbai,Car,512.08,560.8744689,19.23,35,38,Medium,DRV122,Sedan,4.8,UPI,Success,No-show,3
0245e753,08:27.9,CUST9321,Hyderabad,Mumbai,Auto,1138.51,1140.922058,21.2,7,10,High,DRV589,Hatchback,4.3,Wallet,Failed,No-show,3
94beb5d2,41:27.9,CUST8113,Bangalore,Chennai,Bike,632.53,629.8616395,23.7,21,16,High,DRV904,Bike,4.4,UPI,Success,Completed,3.8
51055bdf,59:27.9,CUST4808,Delhi,Kolkata,Auto,638.41,618.7401306,17.67,13,12,Low,DRV987,Sedan,4.1,Cash on Delivery,Success,No-show,3
03b4d2fe,11:27.9,CUST1646,Hyderabad,Kolkata,Auto,1238.51,1290.235039,24.16,6,16,Medium,DRV762,Hatchback,3,Wallet,Success,Completed,2.6
baa61643,53:27.9,CUST1935,Mumbai,Chennai,Bike,1293.09,1269.935598,16.51,25,22,Medium,DRV490,Bike,3.3,Wallet,Failed,Cancelled,3
8a08a244,16:27.9,CUST5012,Delhi,Kolkata,Car,654.49,682.4847332,3.9,24,24,High,DRV127,Sedan,4.6,Debit Card,Failed,Completed,2.5
2b3072bf,27:27.9,CUST5941,Delhi,Ahmedabad,Bike,408.99,484.2896512,11.3,35,37,Low,DRV128,Bike,3.4,Debit Card,Success,No-show,3
9c37e961,07:27.9,CUST7862,Kolkata,Bangalore,Auto,306.81,288.6969129,17.68,30,33,Medium,DRV863,SUV,3.5,Credit Card,Success,Cancelled,3
a74f5990,50:27.9,CUST9444,Hyderabad,Mumbai,Car,820.97,795.1327645,11.85,33,34,Medium,DRV925,Bike,3.3,Cash on Delivery,Success,No-show,3
cc4e1d2a,22:27.9,CUST8989,Ahmedabad,Pune,Car,506.54,532.682358,8.54,42,39,Medium,DRV830,Sedan,4.5,Debit Card,Pending,Completed,1.9
7ca11f85,32:27.9,CUST7419,Mumbai,Hyderabad,Bike,604.34,595.3265395,12.89,38,45,Low,DRV909,Bike,4.9,Cash on Delivery,Failed,Cancelled,3
0870fd78,58:27.9,CUST5281,Chennai,Hyderabad,Auto,1084.88,1092.248791,18.64,33,31,Medium,DRV455,Hatchback,3.4,Debit Card,Failed,Cancelled,3
eefeac8d,47:27.9,CUST7015,Hyderabad,Kolkata,Auto,463.06,513.7479631,20.61,30,33,Medium,DRV740,Electric,3.7,Debit Card,Success,Completed,4.7
b3ee651a,17:27.9,CUST2180,Pune,Bangalore,Bike,541.99,574.3861362,12.83,44,42,Medium,DRV112,Bike,3.1,Credit Card,Pending,Completed,4.8
fe2ffd6d,45:27.9,CUST3649,Mumbai,Delhi,Car,1153.42,1150.404488,18.37,38,34,Medium,DRV184,Hatchback,4,Credit Card,Pending,Completed,2.1
9f2eb0a0,51:27.9,CUST8202,Delhi,Bangalore,Bike,400.86,457.3186407,10.92,41,45,High,DRV138,Bike,4.9,Debit Card,Success,No-show,3
b615e4cd,24:27.9,CUST6573,Ahmedabad,Hyderabad,Car,1494.62,1511.218585,11.88,44,46,High,DRV921,Bike,3.7,Wallet,Pending,Completed,4.8
df1a15f8,32:27.9,CUST4398,Pune,Delhi,Auto,477.36,521.1019567,8.81,14,9,High,DRV693,Hatchback,4,Debit Card,Failed,Cancelled,3
bf5c9498,13:27.9,CUST2048,Kolkata,Chennai,Bike,726.18,800.9507797,8.24,9,11,Low,DRV911,Bike,3.9,UPI,Success,Completed,3.9
58718c4b,12:27.9,CUST2404,Ahmedabad,Kolkata,Auto,994.61,987.8723819,5.24,29,34,Medium,DRV943,Sedan,4.9,Debit Card,Success,Completed,4.8
